temperature,humidity,ph,rainfall,N,P,K
20.88,82.0,6.5,202.94,90,42,43
21.77,80.32,7.04,226.66,85,58,41
23.0,82.32,7.84,263.96,60,55,44
26.49,80.16,6.98,242.86,74,35,40
20.13,81.6,7.63,262.72,78,42,42
23.06,83.37,7.07,251.05,69,37,42
22.71,82.64,5.7,271.32,69,55,38
20.28,82.89,5.72,241.97,94,53,40
24.52,83.54,6.69,230.45,89,54,38
23.22,83.03,6.34,221.21,68,58,38
26.53,81.42,5.39,264.61,91,53,40
23.98,81.45,7.5,250.08,90,46,42
26.8,80.89,5.11,284.44,78,58,44
24.01,82.06,6.98,185.28,93,56,36
25.67,80.66,6.95,209.59,94,50,37
24.28,80.3,7.04,231.09,60,48,39
21.59,82.79,6.25,276.66,85,38,41
23.79,80.42,6.97,206.26,91,35,39
21.87,80.19,5.95,224.56,77,38,36
23.58,83.59,5.85,291.3,88,35,40
21.33,80.47,6.44,185.5,89,45,36
25.16,83.12,5.07,231.38,76,40,43
21.95,80.97,6.01,213.36,67,59,41
21.05,82.68,6.25,233.11,83,41,43
23.48,81.33,7.38,224.06,98,47,37
25.08,80.52,7.78,257.0,66,53,41
26.36,84.04,6.29,271.36,97,59,43
24.53,80.54,7.07,260.26,97,50,41
20.78,84.5,6.24,240.08,60,49,44
22.3,80.64,6.04,197.98,84,51,35
21.45,84.94,5.82,272.2,73,57,41
22.18,80.33,6.36,200.09,92,35,40
24.53,82.74,6.36,224.68,85,37,39
20.27,81.64,5.01,270.44,98,53,38
25.74,83.88,6.15,233.13,88,54,44
26.8,82.15,5.95,193.35,95,55,42
26.76,81.18,5.96,272.3,99,57,35
23.86,83.15,5.56,285.25,95,39,36
21.02,82.95,7.42,298.4,60,43,44
24.17,83.73,5.58,257.03,63,44,41
22.78,82.07,6.43,248.72,62,42,36
25.63,83.53,5.53,209.9,64,45,43
25.6,80.15,6.9,200.83,83,60,36
23.83,84.81,6.27,298.56,82,40,40
26.31,82.37,7.22,265.54,85,52,45
24.9,80.53,6.13,183.68,91,35,38
24.96,84.48,5.21,196.96,76,49,42
23.24,84.59,7.78,233.05,74,39,38
21.67,80.71,7.06,210.81,79,43,39
24.64,80.41,7.73,253.72,88,55,45
23.43,83.06,5.29,219.9,60,36,43
20.05,80.35,6.77,208.58,76,60,39
23.86,82.23,7.38,195.09,93,56,42
21.97,81.9,5.66,227.36,65,60,43
26.23,83.84,5.54,286.51,95,52,36
23.45,84.79,6.22,283.93,75,38,39
25.66,83.47,7.12,217.38,74,54,38
24.44,82.45,5.95,267.98,91,36,45
20.28,82.12,7.24,191.95,71,46,40
21.72,80.24,6.5,277.96,99,55,35
20.41,82.21,7.59,245.15,72,40,38
25.76,83.52,5.88,245.66,83,58,45
20.62,83.77,6.93,279.55,93,58,38
21.84,80.73,6.95,202.38,70,36,42
20.08,83.29,5.74,263.64,76,47,42
24.46,82.75,6.74,182.56,99,41,36
21.14,80.34,5.59,198.67,99,54,37
25.79,82.11,6.95,243.51,86,59,35
23.64,80.29,5.01,263.11,69,46,41
23.43,80.57,6.36,269.5,91,56,37
24.98,83.89,6.88,204.8,61,52,41
22.73,82.17,7.3,260.89,67,45,38
24.87,82.84,6.59,295.61,79,42,37
21.32,83.0,7.28,192.32,78,43,42
26.29,84.57,7.02,257.49,75,54,36
22.23,81.86,6.94,278.08,97,36,45
26.73,81.79,7.87,280.4,67,47,44
24.89,81.98,5.01,185.95,73,35,38
26.88,81.46,6.14,194.58,77,36,37
22.68,83.73,7.52,200.91,81,41,38
26.09,80.38,5.71,182.9,68,57,43
25.43,82.95,5.76,195.36,72,45,35
26.4,81.06,6.35,223.37,61,53,43
26.04,84.97,6.0,186.75,67,43,39
25.28,80.54,5.45,220.12,67,58,39
22.09,83.47,6.37,231.74,66,60,38
23.29,81.43,5.11,242.32,82,43,38
25.49,81.41,5.94,182.65,84,50,44
23.68,81.04,5.18,233.7,81,53,42
20.82,84.13,6.46,230.22,91,50,40
26.93,81.91,7.07,290.68,93,53,38
23.84,83.88,7.47,241.2,90,44,38
26.53,80.12,6.16,218.92,81,45,35
26.46,83.86,7.55,248.23,78,40,38
22.7,82.81,6.03,257.0,60,51,36
22.68,83.46,6.6,194.27,88,46,42
21.53,82.14,6.5,295.92,93,47,37
21.41,83.33,5.94,287.58,60,55,45
26.54,84.67,7.07,183.62,78,35,44
23.36,83.6,5.33,188.41,65,37,40
22.61,63.69,5.75,87.76,71,54,16
26.1,71.57,6.93,102.27,61,44,17
23.56,71.59,6.66,66.72,80,43,16
19.97,57.68,6.6,60.65,73,58,21
18.48,62.7,5.97,65.44,61,38,20
21.78,57.81,6.16,102.09,68,41,16
25.62,66.5,6.05,105.47,93,41,17
25.19,66.69,5.91,78.07,89,60,19
20.42,62.55,5.86,65.28,76,44,17
24.92,66.79,5.75,109.22,67,60,25
23.32,73.45,5.85,94.3,70,44,19
24.84,68.36,6.47,74.05,90,49,21
22.28,58.84,6.97,63.87,62,52,16
18.88,65.77,6.08,94.76,92,44,16
25.19,60.2,5.92,72.12,66,54,21
18.25,55.28,6.2,63.72,63,58,22
24.61,70.42,6.6,104.16,70,47,17
25.14,65.26,6.02,76.68,61,41,17
23.09,60.12,6.03,65.5,66,53,19
18.05,62.89,6.29,84.24,74,55,19
24.93,73.8,6.55,79.74,77,57,21
18.15,71.09,5.57,88.08,99,50,15
18.28,66.66,6.83,80.98,74,56,22
18.83,58.75,5.72,79.75,83,45,21
25.72,67.22,5.55,74.51,100,48,16
25.34,68.5,6.59,96.46,79,51,16
23.89,57.49,5.89,102.83,94,39,18
21.54,71.51,5.92,102.49,75,49,15
23.09,63.1,5.59,70.43,78,48,22
25.62,63.47,6.58,108.83,87,54,20
21.45,63.16,6.18,65.89,87,35,25
18.52,55.53,6.64,90.99,63,43,19
22.54,67.99,6.49,64.41,84,57,25
23.02,61.89,5.68,63.04,64,35,23
24.89,65.61,6.63,87.93,60,46,22
25.77,74.09,6.52,107.49,98,44,21
19.4,62.36,5.7,60.95,75,56,18
21.54,59.64,6.8,109.75,86,55,21
23.8,74.83,6.25,91.76,98,35,18
18.98,74.53,6.09,94.26,76,57,18
24.11,73.13,6.23,71.08,99,56,17
24.79,70.05,5.72,76.73,60,44,23
21.63,60.28,6.43,69.22,74,48,17
